interval_begin;interval_end;interval_haltingDurationSum;interval_id;interval_intervalHaltingDurationSum;interval_jamLengthInMetersSum;interval_jamLengthInVehiclesSum;interval_maxHaltingDuration;interval_maxIntervalHaltingDuration;interval_maxJamLengthInMeters;interval_maxJamLengthInVehicles;interval_maxOccupancy;interval_maxVehicleNumber;interval_meanHaltingDuration;interval_meanIntervalHaltingDuration;interval_meanMaxJamLengthInMeters;interval_meanMaxJamLengthInVehicles;interval_meanOccupancy;interval_meanSpeed;interval_meanTimeLoss;interval_meanVehicleNumber;interval_nVehEntered;interval_nVehLeft;interval_nVehSeen;interval_sampledSeconds;interval_startedHalts
440.00;480.00;116.00;id_E0_2;91.00;575.07;90;61.00;40.00;20.02;3;1.80;5;38.67;30.33;14.38;2.25;1.24;3.82;16.75;3.42;4;2;6;137.00;1.00
440.00;480.00;0.00;id_-E1_0;0.00;0.00;0;0.00;0.00;0.00;0;2.76;6;0.00;0.00;0.00;0.00;2.36;13.36;2.02;5.17;3;3;8;206.87;0.00
440.00;480.00;260.00;id_-E1_1;18.00;98.59;16;106.00;5.00;27.50;4;3.22;7;43.33;3.00;2.46;0.40;1.66;10.04;3.89;3.77;4;8;11;148.30;2.00
440.00;480.00;41.00;id_-E1_2;41.00;212.52;38;30.00;30.00;12.51;2;1.38;3;13.67;13.67;5.31;0.95;0.99;6.48;12.56;2.15;3;1;4;86.00;3.00
440.00;480.00;0.00;id_-E2_0;0.00;0.00;0;0.00;0.00;0.00;0;2.53;5;0.00;0.00;0.00;0.00;1.91;13.28;1.69;3.80;4;4;7;151.83;0.00
440.00;480.00;156.00;id_-E2_1;98.00;627.57;97;82.00;40.00;20.01;3;3.04;6;52.00;32.67;15.69;2.42;2.01;4.67;10.52;3.98;5;4;10;159.00;1.00
440.00;480.00;58.00;id_-E2_2;47.00;245.01;46;51.00;40.00;12.51;2;1.52;3;29.00;23.50;6.13;1.15;0.95;4.13;17.37;1.88;2;1;3;75.00;1.00
440.00;480.00;0.00;id_-E3_0;0.00;0.00;0;0.00;0.00;0.00;0;1.01;3;0.00;0.00;0.00;0.00;0.66;12.77;0.71;1.95;2;3;5;78.00;0.00
440.00;480.00;31.00;id_-E3_1;1.00;5.00;1;31.00;1.00;5.00;1;1.01;3;31.00;1.00;0.12;0.03;0.43;11.94;1.07;1.32;4;5;5;52.05;0.00
440.00;480.00;0.00;id_-E3_2;0.00;0.00;0;0.00;0.00;0.00;0;0.67;2;0.00;0.00;0.00;0.00;0.17;10.48;1.54;0.50;3;1;3;20.00;0.00
480.00;520.00;0.00;id_E0_0;0.00;0.00;0;0.00;0.00;0.00;0;2.89;8;0.00;0.00;0.00;0.00;2.60;12.25;2.08;7.28;2;3;9;290.79;0.00
480.00;520.00;297.00;id_E0_1;17.00;113.46;17;97.00;6.00;35.00;5;3.25;9;59.40;3.40;2.84;0.42;1.46;11.15;3.23;4.22;4;8;12;165.69;0.00
480.00;520.00;269.00;id_E0_2;153.00;1032.62;151;101.00;40.00;35.01;5;2.16;6;53.80;30.60;25.82;3.77;1.79;2.90;22.78;4.95;3;1;7;198.00;2.00
480.00;520.00;0.00;id_-E1_0;0.00;0.00;0;0.00;0.00;0.00;0;2.76;6;0.00;0.00;0.00;0.00;2.24;13.00;1.58;4.90;4;6;9;195.86;0.00
480.00;520.00;52.00;id_-E1_1;47.00;245.05;46;45.00;40.00;12.53;2;3.22;7;26.00;23.50;6.13;1.15;2.22;9.87;5.28;4.83;8;4;11;193.00;1.00
480.00;520.00;129.00;id_-E1_2;89.00;560.05;88;70.00;40.00;20.00;3;2.30;5;43.00;29.67;14.00;2.20;1.62;4.56;16.00;3.52;3;2;6;141.00;1.00
480.00;520.00;0.00;id_-E2_0;0.00;0.00;0;0.00;0.00;0.00;0;2.03;4;0.00;0.00;0.00;0.00;1.44;13.32;2.11;2.88;1;2;4;114.87;0.00
480.00;520.00;164.00;id_-E2_1;8.00;51.14;8;83.00;4.00;20.00;3;3.04;6;54.67;2.67;1.28;0.20;1.43;12.03;2.45;2.95;3;6;9;115.83;0.00
480.00;520.00;144.00;id_-E2_2;86.00;537.55;85;91.00;40.00;20.01;3;2.03;4;48.00;28.67;13.44;2.12;1.51;3.09;18.34;2.98;3;1;5;119.00;1.00
480.00;520.00;0.00;id_-E3_0;0.00;0.00;0;0.00;0.00;0.00;0;1.01;3;0.00;0.00;0.00;0.00;0.63;12.70;0.93;1.88;2;2;4;75.00;0.00
480.00;520.00;0.00;id_-E3_1;0.00;0.00;0;0.00;0.00;0.00;0;0.67;2;0.00;0.00;0.00;0.00;0.23;13.55;0.40;0.68;3;3;3;27.00;0.00
480.00;520.00;45.00;id_-E3_2;45.00;267.65;43;23.00;23.00;12.57;2;1.35;4;22.50;22.50;6.69;1.07;0.80;5.23;11.66;2.38;3;1;5;95.00;2.00
520.00;560.00;0.00;id_E0_0;0.00;0.00;0;0.00;0.00;0.00;0;2.89;8;0.00;0.00;0.00;0.00;2.51;12.21;1.66;7.00;6;4;12;279.00;0.00
520.00;560.00;12.00;id_E0_1;12.00;55.00;11;12.00;12.00;5.00;1;2.52;7;12.00;12.00;1.38;0.28;1.49;11.33;2.46;4.12;6;6;10;165.00;1.00
520.00;560.00;291.00;id_E0_2;22.00;151.57;22;103.00;7.00;36.01;5;2.16;6;58.20;4.40;3.79;0.55;0.82;8.74;3.89;2.50;4;8;10;95.67;0.00
520.00;560.00;0.00;id_-E1_0;0.00;0.00;0;0.00;0.00;0.00;0;2.76;6;0.00;0.00;0.00;0.00;1.91;12.42;1.40;4.17;7;4;10;166.94;0.00
520.00;560.00;172.00;id_-E1_1;120.00;792.67;119;85.00;40.00;20.06;3;4.14;9;57.33;40.00;19.82;2.98;3.11;7.07;10.14;6.75;6;7;13;270.00;1.00
520.00;560.00;283.00;id_-E1_2;154.00;1040.13;152;110.00;40.00;35.01;5;3.22;7;56.60;30.80;26.00;3.80;2.35;2.82;20.59;5.10;4;2;8;204.00;2.00
520.00;560.00;1.00;id_-E2_0;1.00;0.00;0;1.00;1.00;0.00;0;2.53;5;1.00;1.00;0.00;0.00;1.70;13.31;1.50;3.38;5;4;7;134.91;1.00
520.00;560.00;24.00;id_-E2_1;24.00;110.00;22;23.00;23.00;5.00;1;2.03;4;12.00;12.00;2.75;0.55;1.27;10.16;3.82;2.50;5;4;8;100.00;2.00
520.00;560.00;151.00;id_-E2_2;7.00;42.50;7;92.00;4.00;20.00;3;2.03;4;50.33;2.33;1.06;0.17;0.49;8.88;3.28;1.07;1;5;5;41.55;0.00
520.00;560.00;1.00;id_-E3_0;1.00;0.00;0;1.00;1.00;0.00;0;1.01;3;1.00;1.00;0.00;0.00;0.68;13.34;1.02;2.02;4;4;6;81.00;1.00
520.00;560.00;0.00;id_-E3_1;0.00;0.00;0;0.00;0.00;0.00;0;1.01;3;0.00;0.00;0.00;0.00;0.35;12.90;0.32;1.05;6;3;6;42.00;0.00
520.00;560.00;149.00;id_-E3_2;104.00;672.64;103;63.00;40.00;20.06;3;1.35;4;49.67;34.67;16.82;2.58;1.09;2.10;22.05;3.25;1;2;5;130.00;1.00
560.00;600.00;0.00;id_E0_0;0.00;0.00;0;0.00;0.00;0.00;0;3.25;9;0.00;0.00;0.00;0.00;2.80;12.24;1.63;7.83;4;5;12;312.77;0.00
560.00;600.00;108.00;id_E0_1;96.00;605.18;94;52.00;40.00;20.07;3;2.16;6;36.00;32.00;15.13;2.35;1.96;7.04;10.43;5.42;6;4;10;217.00;2.00
560.00;600.00;23.00;id_E0_2;23.00;110.00;22;23.00;23.00;5.00;1;0.72;2;23.00;23.00;2.75;0.55;0.46;6.26;7.20;1.27;2;2;4;51.00;1.00
