current_time,waiting_time
397851.0,472.0
397891.0,496.0
397931.0,421.0
397971.0,403.0
398011.0,289.0
398051.0,490.0
398091.0,493.0
398131.0,488.0
398171.0,341.0
398211.0,319.0
398251.0,375.0
398291.0,469.0
398331.0,319.0
398371.0,492.0
398411.0,383.0
398451.0,373.0
398491.0,279.0
398531.0,512.0
398571.0,401.0
398611.0,373.0
398651.0,296.0
398691.0,495.0
398731.0,342.0
398771.0,298.0
398811.0,299.0
398851.0,456.0
398891.0,392.0
398931.0,434.0
398971.0,267.0
399011.0,381.0
399051.0,379.0
399091.0,313.0
399131.0,273.0
399171.0,506.0
399211.0,399.0
399251.0,335.0
399291.0,333.0
399331.0,489.0
399371.0,300.0
399411.0,327.0
399451.0,373.0
399491.0,504.0
399531.0,446.0
399571.0,461.0
399611.0,372.0
399651.0,466.0
399691.0,416.0
399731.0,394.0
399771.0,294.0
399811.0,501.0
399851.0,453.0
399891.0,333.0
399931.0,302.0
399971.0,425.0
400011.0,440.0
400051.0,505.0
400091.0,363.0
400131.0,588.0
400171.0,484.0
400211.0,332.0
400251.0,381.0
400291.0,564.0
400331.0,371.0
400371.0,316.0
400411.0,431.0
400451.0,703.0
400491.0,535.0
400531.0,511.0
400571.0,359.0
400611.0,647.0
400651.0,497.0
400691.0,379.0
400731.0,363.0
400771.0,534.0
400811.0,351.0
400851.0,213.0
400891.0,237.0
400931.0,464.0
400971.0,444.0
401011.0,498.0
401051.0,385.0
401091.0,435.0
401131.0,429.0
401171.0,457.0
401211.0,375.0
401251.0,549.0
401291.0,435.0
401331.0,425.0
401371.0,358.0
401411.0,538.0
401451.0,488.0
401491.0,442.0
401531.0,298.0
401571.0,518.0
401611.0,529.0
401651.0,528.0
401691.0,398.0
401731.0,442.0
401771.0,378.0
401811.0,372.0
401851.0,285.0
401891.0,474.0
401931.0,412.0
401971.0,437.0
402011.0,329.0
402051.0,537.0
402091.0,548.0
402131.0,548.0
402171.0,298.0
402211.0,448.0
402251.0,376.0
402291.0,407.0
402331.0,255.0
402371.0,468.0
402411.0,479.0
402451.0,431.0
402491.0,343.0
402531.0,399.0
402571.0,357.0
402611.0,372.0
402651.0,253.0
402691.0,453.0
402731.0,445.0
402771.0,510.0
402811.0,360.0
402851.0,494.0
402891.0,462.0
