interval_begin;interval_end;interval_haltingDurationSum;interval_id;interval_intervalHaltingDurationSum;interval_jamLengthInMetersSum;interval_jamLengthInVehiclesSum;interval_maxHaltingDuration;interval_maxIntervalHaltingDuration;interval_maxJamLengthInMeters;interval_maxJamLengthInVehicles;interval_maxOccupancy;interval_maxVehicleNumber;interval_meanHaltingDuration;interval_meanIntervalHaltingDuration;interval_meanMaxJamLengthInMeters;interval_meanMaxJamLengthInVehicles;interval_meanOccupancy;interval_meanSpeed;interval_meanTimeLoss;interval_meanVehicleNumber;interval_nVehEntered;interval_nVehLeft;interval_nVehSeen;interval_sampledSeconds;interval_startedHalts
880.00;920.00;0.00;id_E0_0;0.00;0.00;0;0.00;0.00;0.00;0;2.89;9;0.00;0.00;0.00;0.00;2.33;12.91;1.50;6.53;4;5;11;260.03;0.00
880.00;920.00;0.00;id_E0_1;0.00;0.00;0;0.00;0.00;0.00;0;0.72;2;0.00;0.00;0.00;0.00;0.51;13.20;0.49;1.43;5;4;5;57.00;0.00
880.00;920.00;41.00;id_E0_2;41.00;195.03;38;37.00;37.00;12.52;2;1.08;3;13.67;13.67;4.88;0.95;0.67;4.78;12.14;1.85;3;1;4;74.00;3.00
880.00;920.00;0.00;id_-E1_0;0.00;0.00;0;0.00;0.00;0.00;0;2.76;6;0.00;0.00;0.00;0.00;2.37;12.72;1.71;5.22;2;3;8;207.89;0.00
880.00;920.00;153.00;id_-E1_1;14.00;71.14;12;69.00;4.00;20.00;3;1.84;4;30.60;2.80;1.78;0.30;0.71;7.77;4.42;1.65;3;5;7;65.29;2.00
880.00;920.00;44.00;id_-E1_2;40.00;200.00;40;44.00;40.00;5.00;1;0.46;1;44.00;40.00;5.00;1.00;0.46;0.00;40.00;1.00;0;0;1;40.00;0.00
880.00;920.00;0.00;id_-E2_0;0.00;0.00;0;0.00;0.00;0.00;0;2.03;5;0.00;0.00;0.00;0.00;1.67;13.51;2.23;3.33;2;2;5;132.98;0.00
880.00;920.00;109.00;id_-E2_1;74.00;447.58;73;75.00;40.00;12.53;2;1.52;3;54.50;37.00;11.19;1.82;1.29;3.15;19.73;2.55;2;1;4;102.00;1.00
880.00;920.00;0.00;id_-E2_2;0.00;0.00;0;0.00;0.00;0.00;0;0.00;0;0.00;0.00;0.00;0.00;0.00;-1.00;-1.00;0.00;0;0;0;0.00;0.00
880.00;920.00;0.00;id_-E3_0;0.00;0.00;0;0.00;0.00;0.00;0;1.68;5;0.00;0.00;0.00;0.00;1.22;13.86;1.13;3.62;4;2;6;145.00;0.00
880.00;920.00;0.00;id_-E3_1;0.00;0.00;0;0.00;0.00;0.00;0;1.01;3;0.00;0.00;0.00;0.00;0.32;13.05;0.79;0.95;3;6;6;38.00;0.00
880.00;920.00;472.00;id_-E3_2;178.00;1220.29;176;165.00;40.00;42.59;6;2.35;7;78.67;29.67;30.51;4.40;1.92;2.55;26.36;5.70;3;1;7;228.00;2.00
920.00;960.00;0.00;id_E0_0;0.00;0.00;0;0.00;0.00;0.00;0;2.89;8;0.00;0.00;0.00;0.00;2.29;12.06;2.48;6.42;6;6;12;255.83;0.00
920.00;960.00;0.00;id_E0_1;0.00;0.00;0;0.00;0.00;0.00;0;1.08;3;0.00;0.00;0.00;0.00;0.57;13.25;0.66;1.57;7;6;8;63.00;0.00
920.00;960.00;135.00;id_E0_2;95.00;605.12;94;77.00;40.00;20.05;3;1.80;5;45.00;31.67;15.13;2.35;1.28;3.86;16.97;3.55;3;2;6;142.00;1.00
920.00;960.00;0.00;id_-E1_0;0.00;0.00;0;0.00;0.00;0.00;0;2.81;7;0.00;0.00;0.00;0.00;2.66;12.69;2.10;5.85;4;4;9;232.87;0.00
920.00;960.00;54.00;id_-E1_1;50.00;260.03;48;44.00;40.00;12.52;2;1.84;4;18.00;16.67;6.50;1.20;1.07;5.24;11.44;2.33;3;2;5;93.00;2.00
920.00;960.00;45.00;id_-E1_2;1.00;5.00;1;45.00;1.00;5.00;1;0.46;1;45.00;1.00;0.12;0.03;0.02;2.17;2.19;0.07;0;1;1;2.77;0.00
920.00;960.00;0.00;id_-E2_0;0.00;0.00;0;0.00;0.00;0.00;0;2.53;5;0.00;0.00;0.00;0.00;1.63;13.96;1.80;3.25;2;2;5;129.85;0.00
920.00;960.00;223.00;id_-E2_1;114.00;747.58;113;115.00;40.00;20.00;3;2.03;4;74.33;38.00;18.69;2.83;1.88;2.59;24.30;3.70;2;1;5;148.00;1.00
